Pressure,Rs,bo,bg,OilViscosity,GasViscosity,OilDensity,GasDensity
2800,1231.85653,1.653789471,0.004837956,0.265341376,0.023729186,37.81596522,12.78568278
2733.333333,1196.629618,1.637046117,0.004942176,0.269045572,0.023289507,37.96823217,12.51605751
2666.666667,1161.577562,1.620385871,0.005053877,0.272886242,0.0228495,38.12286665,12.23942854
2600,1126.703832,1.603810384,0.005173716,0.27687163,0.022409935,38.27990261,11.9559257
2533.333333,1092.01206,1.587321382,0.005302421,0.28101068,0.021971614,38.43937327,11.66572085
2466.666667,1057.506049,1.570920672,0.005440796,0.28531311,0.021535359,38.60131092,11.36902909
2400,1023.189784,1.554610148,0.00558973,0.289789504,0.02110201,38.76574675,11.06610968
2333.333333,989.0674508,1.5383918,0.005750212,0.294451404,0.020672412,38.93271061,10.75726627
2266.666667,955.1434474,1.522267718,0.005923343,0.299311432,0.02024741,39.10223075,10.44284674
2200,921.4224048,1.506240103,0.006110351,0.304383415,0.019827839,39.27433355,10.12324232
